CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID PRICE,ASK PRICE,ASK QTY,STRIKE PRICE,BID QTY,BID PRICE,ASK PRICE,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,48,-,-,-,"7,040.00",-,"1,500","7,014.35","7,084.70","1,500","10,000.00","1,30,900",0.10,0.15,"1,00,800",-0.05,0.10,203.25,"6,036",338,"13,918",
,"13,634",-337,998,324.93,"6,058.50",57.70,250,"6,047.30","6,074.70","1,050","11,000.00",750,0.15,0.20,"71,600",-0.05,0.15,173.23,"3,550","1,338","8,488",
,6,-,5,267.51,"5,058.00",8.00,"1,500","5,013.10","5,076.70",50,"12,000.00","21,250",0.15,0.20,"1,100",-0.15,0.20,143.42,"4,457",242,"3,194",
,661,-20,58,188.57,"4,035.75",16.40,50,"4,031.35","4,075.70",50,"13,000.00","24,850",0.20,0.25,500,-0.25,0.20,112.40,"4,364",14,"3,884",
,"2,542",-101,263,157.88,"3,050.50",26.30,50,"3,049.05","3,076.75",50,"14,000.00","6,150",0.35,0.40,"5,450",-0.15,0.35,87.20,"11,947","-2,274","16,161",
-,-,-,-,-,-,-,-,-,-,-,"14,200.00","1,250",0.55,0.65,600,-0.30,0.55,84.66,"1,820",-55,193,
,-,-,-,-,-,-,50,"2,753.10","2,828.25",50,"14,250.00","2,650",0.55,1.00,400,-0.30,0.55,83.15,417,4,245,
,8,-,2,180.72,"2,810.00",-340.00,"1,500","2,716.85","2,778.25",50,"14,300.00",850,0.55,1.00,"1,150",-0.20,0.60,82.31,"1,666",2,383,
,6,-,-,-,"3,215.00",-,"1,500","2,668.85","2,721.65",50,"14,350.00","1,800",0.40,1.70,50,-0.25,0.90,84.01,273,-,93,
,1,-,-,-,"3,345.00",-,"1,500","2,498.25","2,704.95","1,500","14,400.00",100,0.40,0.80,450,-0.65,0.50,77.96,"1,197",57,254,
,1,-,-,-,"2,906.15",-,"1,500","2,427.50","2,657.55","2,500","14,450.00",100,0.65,1.00,450,-0.10,1.00,81.76,86,-18,106,
,"1,722",-94,598,128.76,"2,544.10",18.80,450,"2,551.80","2,575.20",50,"14,500.00",50,0.55,0.75,"1,550",-0.40,0.60,76.28,"5,783",-393,"7,180",
,-,-,-,-,-,-,"1,500","2,412.55","2,548.25","1,500","14,550.00","1,450",0.50,1.25,400,-0.60,0.65,75.35,"3,727",-16,90,
,17,-12,16,-,"2,319.40",-720.60,"1,500","2,416.85","2,483.70","1,500","14,600.00","2,800",0.35,0.55,500,-0.70,0.50,72.04,599,60,250,
,-,-,-,-,-,-,"1,500","2,321.10","2,453.35","1,500","14,650.00","3,300",0.40,2.50,400,-0.65,0.55,71.20,"1,745",27,98,
,10,-6,6,111.12,"2,335.00",-79.95,"1,500","2,212.75","2,401.55","3,000","14,700.00",900,0.55,1.70,300,-0.55,0.55,69.72,623,3,264,
,1,-,-,-,"2,981.00",-,50,"2,281.00","2,351.75","1,500","14,750.00","1,600",0.50,0.75,450,-0.60,0.50,67.63,801,55,142,
,17,-12,14,153.15,"2,310.00",-585.00,"1,500","2,183.40","2,299.70","1,500","14,800.00","1,400",0.65,1.90,300,-0.55,0.65,67.85,684,-91,624,
,-,-,-,-,-,-,"1,500","2,060.80","2,236.85","1,500","14,850.00",150,0.65,2.60,"1,800",-0.75,0.65,66.35,353,44,92,
,8,-1,5,-,"2,071.10",-859.50,"1,500","2,120.75","2,160.45",50,"14,900.00",200,0.65,1.05,100,-0.60,0.65,64.86,"1,198",154,471,
,-,-,-,-,-,-,"1,500","2,070.25","2,148.80","1,500","14,950.00","1,700",0.60,1.60,"1,000",-0.75,0.60,62.88,331,52,155,
,"7,265",-458,784,114.10,"2,055.70",27.80,100,"2,050.70","2,062.70",150,"15,000.00","7,150",0.60,0.70,"6,600",-0.70,0.60,61.41,"21,627","-2,499","28,424",
